slug,date,open,high,low,close,currency
USD/CNY,2014/4/3,6.1957,6.2085,6.1939,6.1957,CNY
USD/CNY,2014/4/4,6.2007,6.211,6.2007,6.2007,CNY
USD/CNY,2014/4/7,6.2023,6.209,6.2023,6.2023,CNY
USD/CNY,2014/4/8,6.2023,6.211,6.1869,6.2023,CNY
USD/CNY,2014/4/9,6.1869,6.195,6.1789,6.1869,CNY
USD/CNY,2014/4/10,6.1906,6.2026,6.1885,6.1906,CNY
USD/CNY,2014/4/11,6.2026,6.211,6.198,6.2026,CNY
USD/CNY,2014/4/14,6.2014,6.2101,6.2011,6.2014,CNY
USD/CNY,2014/4/15,6.2091,6.221,6.207,6.2091,CNY
USD/CNY,2014/4/16,6.212,6.2205,6.2114,6.212,CNY
USD/CNY,2014/4/17,6.2114,6.2235,6.2077,6.2114,CNY
USD/CNY,2014/4/18,6.2091,6.2345,6.2091,6.2091,CNY
USD/CNY,2014/4/21,6.2091,6.2345,6.2091,6.2091,CNY
USD/CNY,2014/4/22,6.2091,6.231,6.2091,6.2091,CNY
USD/CNY,2014/4/23,6.2276,6.239,6.2261,6.2276,CNY
USD/CNY,2014/4/24,6.2277,6.242,6.2277,6.2277,CNY
USD/CNY,2014/4/25,6.2389,6.25,6.2389,6.2389,CNY
USD/CNY,2014/4/28,6.2437,6.253,6.2376,6.2437,CNY
USD/CNY,2014/4/29,6.243,6.2535,6.242,6.243,CNY
USD/CNY,2014/4/30,6.2481,6.257,6.2434,6.2481,CNY
USD/CNY,2014/5/1,6.2494,6.2585,6.2494,6.2494,CNY
USD/CNY,2014/5/2,6.2494,6.258,6.2494,6.2494,CNY
USD/CNY,2014/5/5,6.2494,6.2585,6.2329,6.2494,CNY
USD/CNY,2014/5/6,6.2356,6.244,6.2158,6.2356,CNY
USD/CNY,2014/5/7,6.2158,6.2265,6.2086,6.2158,CNY
USD/CNY,2014/5/8,6.2244,6.2333,6.2177,6.2244,CNY
USD/CNY,2014/5/9,6.2181,6.2275,6.2148,6.2181,CNY
USD/CNY,2014/5/12,6.2177,6.236,6.2177,6.2177,CNY
USD/CNY,2014/5/13,6.2276,6.2365,6.2191,6.2276,CNY
USD/CNY,2014/5/14,6.2191,6.228,6.2146,6.2191,CNY
USD/CNY,2014/5/15,6.219,6.228,6.2158,6.219,CNY
USD/CNY,2014/5/16,6.2207,6.228,6.2188,6.2207,CNY
USD/CNY,2014/5/19,6.2235,6.2345,6.2235,6.2235,CNY
USD/CNY,2014/5/20,6.2275,6.2385,6.2263,6.2275,CNY
USD/CNY,2014/5/21,6.2281,6.2355,6.2237,6.2281,CNY
USD/CNY,2014/5/22,6.2238,6.2325,6.2233,6.2238,CNY
USD/CNY,2014/5/23,6.2251,6.2325,6.2251,6.2251,CNY
USD/CNY,2014/5/26,6.2266,6.2316,6.2257,6.2266,CNY
USD/CNY,2014/5/27,6.2295,6.2398,6.2295,6.2295,CNY
USD/CNY,2014/5/28,6.2391,6.2511,6.2391,6.2391,CNY
USD/CNY,2014/5/29,6.244,6.251,6.228,6.244,CNY
USD/CNY,2014/5/30,6.228,6.2379,6.2258,6.228,CNY
USD/CNY,2014/6/2,6.2379,6.246,6.2379,6.2379,CNY
USD/CNY,2014/6/3,6.2379,6.247,6.236,6.2379,CNY
USD/CNY,2014/6/4,6.2446,6.254,6.2404,6.2446,CNY
USD/CNY,2014/6/5,6.2404,6.25,6.2404,6.2404,CNY
USD/CNY,2014/6/6,6.2468,6.257,6.2351,6.2468,CNY
USD/CNY,2014/6/9,6.2405,6.2505,6.2285,6.2405,CNY
USD/CNY,2014/6/10,6.2303,6.2505,6.2126,6.2303,CNY
USD/CNY,2014/6/11,6.2145,6.2275,6.2145,6.2145,CNY
USD/CNY,2014/6/12,6.2181,6.224,6.2056,6.2181,CNY
USD/CNY,2014/6/13,6.2085,6.2174,6.1922,6.2085,CNY
USD/CNY,2014/6/16,6.1995,6.2174,6.1995,6.1995,CNY
USD/CNY,2014/6/17,6.217,6.2265,6.2166,6.217,CNY
USD/CNY,2014/6/18,6.2168,6.2249,6.2166,6.2168,CNY
USD/CNY,2014/6/19,6.2214,6.231,6.2138,6.2214,CNY
USD/CNY,2014/6/20,6.2192,6.2211,6.2132,6.2192,CNY
USD/CNY,2014/6/23,6.2145,6.224,6.2145,6.2145,CNY
USD/CNY,2014/6/24,6.2155,6.2282,6.2138,6.2155,CNY
USD/CNY,2014/6/25,6.2211,6.234,6.2211,6.2211,CNY
USD/CNY,2014/6/26,6.2244,6.235,6.214,6.2244,CNY
USD/CNY,2014/6/27,6.214,6.231,6.2075,6.214,CNY
USD/CNY,2014/6/30,6.2085,6.2165,6.1916,6.2085,CNY
USD/CNY,2014/7/1,6.1938,6.203,6.1873,6.1938,CNY
USD/CNY,2014/7/2,6.19,6.2032,6.19,6.19,CNY
USD/CNY,2014/7/3,6.2006,6.209,6.2006,6.2006,CNY
USD/CNY,2014/7/4,6.202,6.2034,6.194,6.202,CNY
USD/CNY,2014/7/7,6.1941,6.2115,6.191,6.1941,CNY
USD/CNY,2014/7/8,6.1938,6.2027,6.1915,6.1938,CNY
USD/CNY,2014/7/9,6.1915,6.2005,6.1858,6.1915,CNY
USD/CNY,2014/7/10,6.1854,6.1985,6.1854,6.1899,CNY
USD/CNY,2014/7/11,6.1928,6.199,2.2015,6.1928,CNY
USD/CNY,2014/7/14,6.1936,6.2027,6.1936,6.1936,CNY
USD/CNY,2014/7/15,6.1961,6.203,6.1961,6.1961,CNY
USD/CNY,2014/7/16,6.198,6.203,6.194,6.198,CNY
USD/CNY,2014/7/17,6.194,6.2045,6.1908,6.194,CNY
USD/CNY,2014/7/18,6.1938,6.2006,6.192,6.1938,CNY
USD/CNY,2014/7/21,6.198,6.207,6.1949,6.198,CNY
USD/CNY,2014/7/22,6.1993,6.2084,6.193,6.1993,CNY
USD/CNY,2014/7/23,6.193,6.203,6.1888,6.193,CNY
USD/CNY,2014/7/24,6.1888,6.1975,6.1817,6.1888,CNY
USD/CNY,2014/7/25,6.1847,6.195,6.1817,6.1847,CNY
USD/CNY,2014/7/28,6.1817,6.192,6.1763,6.1817,CNY
USD/CNY,2014/7/29,6.1775,6.1775,6.1696,6.1775,CNY
USD/CNY,2014/7/30,6.1705,6.181,6.1615,6.1705,CNY
USD/CNY,2014/7/31,6.1615,6.17,6.1612,6.1615,CNY
USD/CNY,2014/8/1,6.164,6.179,6.1634,6.164,CNY
USD/CNY,2014/8/4,6.1698,6.1795,6.1685,6.1698,CNY
USD/CNY,2014/8/5,6.1685,6.177,6.1607,6.1685,CNY
USD/CNY,2014/8/6,6.1607,6.17,6.153,6.1607,CNY
USD/CNY,2014/8/7,6.153,6.161,6.1471,6.153,CNY
USD/CNY,2014/8/8,6.1521,6.162,6.1456,6.1521,CNY
USD/CNY,2014/8/11,6.1462,6.1538,6.1435,6.1462,CNY
USD/CNY,2014/8/12,6.1435,6.1575,6.1435,6.1435,CNY
USD/CNY,2014/8/13,6.148,6.1523,6.1436,6.148,CNY
USD/CNY,2014/8/14,6.1436,6.1575,6.1421,6.1436,CNY
USD/CNY,2014/8/15,6.1425,6.152,6.1361,6.1425,CNY
USD/CNY,2014/8/18,6.1373,6.1373,6.133,6.1373,CNY
USD/CNY,2014/8/19,6.133,6.1356,6.127,6.133,CNY
USD/CNY,2014/8/20,6.1313,6.1367,6.13,6.1313,CNY
USD/CNY,2014/8/21,6.13,6.1465,6.13,6.13,CNY
USD/CNY,2014/8/22,6.1415,6.1513,6.1415,6.1415,CNY
USD/CNY,2014/8/25,6.1415,6.1444,6.1397,6.1415,CNY
USD/CNY,2014/8/26,6.1444,6.1463,6.1422,6.1444,CNY
USD/CNY,2014/8/27,6.1426,6.1426,6.133,6.1426,CNY
USD/CNY,2014/8/28,6.1333,6.1333,6.1322,6.1333,CNY
USD/CNY,2014/8/29,6.1328,6.1372,6.1328,6.1328,CNY
USD/CNY,2014/9/1,6.1334,6.1352,6.1292,6.1334,CNY
USD/CNY,2014/9/2,6.132,6.1385,6.132,6.132,CNY
USD/CNY,2014/9/3,6.1383,6.1383,6.1311,6.1383,CNY
USD/CNY,2014/9/4,6.1311,6.1311,6.1248,6.1311,CNY
USD/CNY,2014/9/5,6.1286,6.1336,6.1283,6.1286,CNY
USD/CNY,2014/9/8,6.1305,6.1305,6.1305,6.1305,CNY
USD/CNY,2014/9/9,6.1305,6.1405,6.1224,6.1305,CNY
USD/CNY,2014/9/10,6.1265,6.1361,6.1181,6.1265,CNY
USD/CNY,2014/9/11,6.1194,6.1262,6.1194,6.1194,CNY
USD/CNY,2014/9/12,6.12,6.132,6.12,6.12,CNY
USD/CNY,2014/9/15,6.1247,6.14,6.1247,6.1247,CNY
USD/CNY,2014/9/16,6.132,6.1439,6.132,6.132,CNY
USD/CNY,2014/9/17,6.1361,6.144,6.129,6.1361,CNY
USD/CNY,2014/9/18,6.129,6.1385,6.129,6.129,CNY
USD/CNY,2014/9/19,6.1305,6.142,6.1272,6.1305,CNY
USD/CNY,2014/9/22,6.1311,6.142,6.1281,6.1311,CNY
USD/CNY,2014/9/23,6.1305,6.139,6.1278,6.1305,CNY
USD/CNY,2014/9/24,6.1278,6.139,6.1243,6.1278,CNY
USD/CNY,2014/9/25,6.1266,6.134,6.125,6.1266,CNY
USD/CNY,2014/9/26,6.126,6.137,6.116,6.126,CNY
USD/CNY,2014/9/29,6.1171,6.148,6.1171,6.1171,CNY
USD/CNY,2014/9/30,6.14,6.151,6.1285,6.14,CNY
USD/CNY,2014/10/1,6.1285,6.138,6.1285,6.1285,CNY
USD/CNY,2014/10/2,6.1285,6.138,6.1285,6.1285,CNY
USD/CNY,2014/10/3,6.1285,6.137,6.1285,6.1285,CNY
USD/CNY,2014/10/6,6.129,6.135,6.129,6.129,CNY
USD/CNY,2014/10/7,6.129,6.135,6.129,6.129,CNY
USD/CNY,2014/10/8,6.129,6.139,6.1245,6.129,CNY
USD/CNY,2014/10/9,6.129,6.139,6.1202,6.129,CNY
USD/CNY,2014/10/10,6.1202,6.1241,6.1202,6.1202,CNY
USD/CNY,2014/10/13,6.1211,6.132,6.1155,6.1211,CNY
USD/CNY,2014/10/14,6.1155,6.123,6.1134,6.1155,CNY
USD/CNY,2014/10/15,6.1155,6.123,6.1149,6.1155,CNY
USD/CNY,2014/10/16,6.1159,6.123,6.1125,6.1159,CNY
USD/CNY,2014/10/17,6.1133,6.1205,6.1133,6.1133,CNY
USD/CNY,2014/10/20,6.114,6.1205,6.1127,6.114,CNY
USD/CNY,2014/10/21,6.1136,6.122,6.1102,6.1136,CNY
USD/CNY,2014/10/22,6.111,6.121,6.1073,6.111,CNY
USD/CNY,2014/10/23,6.1083,6.121,6.108,6.1083,CNY
USD/CNY,2014/10/24,6.1095,6.117,6.1071,6.1095,CNY
USD/CNY,2014/10/27,6.1071,6.1071,6.1048,6.1071,CNY
USD/CNY,2014/10/28,6.1065,6.1065,6.1032,6.1065,CNY
USD/CNY,2014/10/29,6.1033,6.1035,6.0987,6.1033,CNY
USD/CNY,2014/10/30,6.1012,6.1057,6.1012,6.1012,CNY
USD/CNY,2014/10/31,6.1045,6.1045,6.0985,6.1045,CNY
USD/CNY,2014/11/3,6.1027,6.1083,6.1027,6.1027,CNY
USD/CNY,2014/11/4,6.1083,6.1087,6.1052,6.1083,CNY
USD/CNY,2014/11/5,6.1053,6.1053,6.1011,6.1053,CNY
USD/CNY,2014/11/6,6.104,6.1055,6.102,6.104,CNY
USD/CNY,2014/11/7,6.102,6.1129,6.102,6.102,CNY
USD/CNY,2014/11/10,6.1128,6.1128,6.1051,6.1128,CNY
USD/CNY,2014/11/11,6.1095,6.1148,6.1078,6.1095,CNY
USD/CNY,2014/11/12,6.1145,6.1177,6.1138,6.1145,CNY
USD/CNY,2014/11/13,6.1162,6.1174,6.1142,6.1162,CNY
USD/CNY,2014/11/14,6.1148,6.1206,6.1117,6.1148,CNY
USD/CNY,2014/11/17,6.1195,6.1195,6.1141,6.1195,CNY
USD/CNY,2014/11/18,6.1143,6.115,6.1086,6.1143,CNY
USD/CNY,2014/11/19,6.1113,6.1115,6.1075,6.1113,CNY
USD/CNY,2014/11/20,6.1095,6.1154,6.1095,6.1095,CNY
USD/CNY,2014/11/21,6.1135,6.1149,6.1101,6.1135,CNY
USD/CNY,2014/11/24,6.1149,6.1323,6.1149,6.1149,CNY
USD/CNY,2014/11/25,6.1317,6.1349,6.1264,6.1317,CNY
USD/CNY,2014/11/26,6.1265,6.1293,6.1227,6.1265,CNY
USD/CNY,2014/11/27,6.1291,6.1293,6.1252,6.1291,CNY
USD/CNY,2014/11/28,6.1291,6.1371,6.1291,6.1291,CNY
USD/CNY,2014/12/1,6.1332,6.142,6.1332,6.1332,CNY
USD/CNY,2014/12/2,6.142,6.142,6.137,6.142,CNY
USD/CNY,2014/12/3,6.1395,6.1425,6.1371,6.1395,CNY
USD/CNY,2014/12/4,6.1402,6.145,6.14,6.1402,CNY
USD/CNY,2014/12/5,6.1446,6.1446,6.1402,6.1446,CNY
USD/CNY,2014/12/8,6.1402,6.163,6.1402,6.1402,CNY
USD/CNY,2014/12/9,6.163,6.1959,6.163,6.163,CNY
USD/CNY,2014/12/10,6.1778,6.1871,6.1588,6.1778,CNY
USD/CNY,2014/12/11,6.1666,6.1802,6.1593,6.1666,CNY
USD/CNY,2014/12/12,6.1786,6.1889,6.1725,6.1786,CNY
USD/CNY,2014/12/15,6.1769,6.1824,6.1769,6.1769,CNY
USD/CNY,2014/12/16,6.1805,6.1867,6.1795,6.1805,CNY
USD/CNY,2014/12/17,6.1795,6.187,6.1795,6.1795,CNY
USD/CNY,2014/12/18,6.187,6.2099,6.187,6.187,CNY
USD/CNY,2014/12/19,6.2045,6.2186,6.2045,6.2045,CNY
USD/CNY,2014/12/22,6.2099,6.213,6.2062,6.2099,CNY
USD/CNY,2014/12/23,6.2116,6.217,6.2116,6.2116,CNY
USD/CNY,2014/12/24,6.2159,6.2211,6.2053,6.2159,CNY
USD/CNY,2014/12/25,6.2053,6.2053,6.2053,6.2053,CNY
USD/CNY,2014/12/26,6.2053,6.2053,6.2053,6.2053,CNY
USD/CNY,2014/12/29,6.2053,6.2165,6.2053,6.2053,CNY
USD/CNY,2014/12/30,6.2125,6.2218,6.1863,6.2125,CNY
USD/CNY,2014/12/31,6.192,6.1964,6.181,6.192,CNY
USD/CNY,2015/1/1,6.1961,6.1961,6.1961,6.1961,CNY
USD/CNY,2015/1/2,6.1961,6.1961,6.1961,6.1961,CNY
USD/CNY,2015/1/5,6.1961,6.209,6.1961,6.1961,CNY
USD/CNY,2015/1/6,6.2084,6.2084,6.1988,6.2084,CNY
USD/CNY,2015/1/7,6.202,6.204,6.1976,6.202,CNY
USD/CNY,2015/1/8,6.204,6.2102,6.2035,6.204,CNY
USD/CNY,2015/1/9,6.2035,6.2035,6.1972,6.2035,CNY
USD/CNY,2015/1/12,6.2003,6.2003,6.1901,6.2003,CNY
USD/CNY,2015/1/13,6.1934,6.1937,6.1876,6.1934,CNY
USD/CNY,2015/1/14,6.1876,6.1877,6.184,6.1876,CNY
USD/CNY,2015/1/15,6.184,6.184,6.1775,6.184,CNY
USD/CNY,2015/1/16,6.1775,6.2019,6.1775,6.1775,CNY
USD/CNY,2015/1/19,6.197,6.208,6.197,6.197,CNY
USD/CNY,2015/1/20,6.208,6.208,6.2018,6.208,CNY
USD/CNY,2015/1/21,6.2049,6.2079,6.2017,6.2049,CNY
USD/CNY,2015/1/22,6.2017,6.202,6.1986,6.2017,CNY
USD/CNY,2015/1/23,6.199,6.2179,6.199,6.199,CNY
USD/CNY,2015/1/26,6.2179,6.2458,6.2179,6.2179,CNY
USD/CNY,2015/1/27,6.2458,6.2458,6.2351,6.2458,CNY
USD/CNY,2015/1/28,6.2351,6.2365,6.2302,6.2351,CNY
USD/CNY,2015/1/29,6.2365,6.2418,6.2355,6.2365,CNY
USD/CNY,2015/1/30,6.2366,6.241,6.2366,6.2366,CNY
USD/CNY,2015/2/2,6.241,6.2495,6.241,6.241,CNY
USD/CNY,2015/2/3,6.2495,6.2495,6.2427,6.2495,CNY
USD/CNY,2015/2/4,6.2457,6.2457,6.2351,6.2457,CNY
USD/CNY,2015/2/5,6.2377,6.246,6.2377,6.2377,CNY
USD/CNY,2015/2/6,6.2421,6.2421,6.227,6.2421,CNY
USD/CNY,2015/2/9,6.2334,6.2389,6.2334,6.2334,CNY
USD/CNY,2015/2/10,6.2388,6.2388,6.2318,6.2388,CNY
USD/CNY,2015/2/11,6.2318,6.2353,6.2318,6.2318,CNY
USD/CNY,2015/2/12,6.2323,6.2353,6.2323,6.2323,CNY
USD/CNY,2015/2/13,6.2345,6.2345,6.2292,6.2345,CNY
USD/CNY,2015/2/16,6.2303,6.2386,6.2303,6.2303,CNY
USD/CNY,2015/2/17,6.2386,6.2441,6.2386,6.2386,CNY
USD/CNY,2015/2/18,6.2441,6.2441,6.2441,6.2441,CNY
USD/CNY,2015/2/19,6.2441,6.2441,6.2441,6.2441,CNY
USD/CNY,2015/2/20,6.2441,6.2441,6.2441,6.2441,CNY
USD/CNY,2015/2/23,6.2441,6.2451,6.2441,6.2441,CNY
USD/CNY,2015/2/24,6.2451,6.2451,6.2451,6.2451,CNY
USD/CNY,2015/2/25,6.2451,6.2495,6.2451,6.2451,CNY
USD/CNY,2015/2/26,6.2495,6.2495,6.2495,6.2495,CNY
USD/CNY,2015/2/27,6.2495,6.2586,6.2495,6.2495,CNY
USD/CNY,2015/3/2,6.2586,6.2637,6.2586,6.2586,CNY
USD/CNY,2015/3/3,6.2637,6.2637,6.2637,6.2637,CNY
USD/CNY,2015/3/4,6.2637,6.2637,6.2606,6.2637,CNY
USD/CNY,2015/3/5,6.2606,6.2606,6.2574,6.2606,CNY
USD/CNY,2015/3/6,6.2574,6.2574,6.2538,6.2574,CNY
USD/CNY,2015/3/9,6.2538,6.255,6.2538,6.2538,CNY
USD/CNY,2015/3/10,6.255,6.255,6.252,6.255,CNY
USD/CNY,2015/3/11,6.252,6.252,6.252,6.252,CNY
USD/CNY,2015/3/12,6.252,6.252,6.252,6.252,CNY
USD/CNY,2015/3/13,6.252,6.252,6.2487,6.252,CNY
USD/CNY,2015/3/16,6.2487,6.2518,6.2487,6.2487,CNY
USD/CNY,2015/3/17,6.2518,6.2518,6.2395,6.2518,CNY
USD/CNY,2015/3/18,6.2395,6.2397,6.2187,6.2395,CNY
USD/CNY,2015/3/19,6.2187,6.2187,6.1796,6.2187,CNY
USD/CNY,2015/3/20,6.186,6.2103,6.1714,6.186,CNY
USD/CNY,2015/3/23,6.196,6.2083,6.196,6.196,CNY
USD/CNY,2015/3/24,6.205,6.205,6.1909,6.205,CNY
USD/CNY,2015/3/25,6.1953,6.2043,6.1921,6.1953,CNY
USD/CNY,2015/3/26,6.201,6.2045,6.1978,6.201,CNY
USD/CNY,2015/3/27,6.2014,6.2081,6.2014,6.2014,CNY
USD/CNY,2015/3/30,6.2052,6.2052,6.1965,6.2052,CNY
USD/CNY,2015/3/31,6.1965,6.1965,6.1875,6.1965,CNY
USD/CNY,2015/4/1,6.1875,6.1875,6.184,6.1875,CNY
USD/CNY,2015/4/2,6.1871,6.1871,6.184,6.1871,CNY
USD/CNY,2015/4/3,6.187,6.187,6.187,6.187,CNY
USD/CNY,2015/4/6,6.187,6.187,6.187,6.187,CNY
USD/CNY,2015/4/7,6.187,6.1882,6.1821,6.187,CNY
USD/CNY,2015/4/8,6.1882,6.1945,6.1882,6.1882,CNY
USD/CNY,2015/4/9,6.1914,6.1947,6.1914,6.1914,CNY
USD/CNY,2015/4/10,6.1947,6.2029,6.1947,6.1947,CNY
USD/CNY,2015/4/13,6.1991,6.2047,6.1991,6.1991,CNY
USD/CNY,2015/4/14,6.2047,6.2047,6.2016,6.2047,CNY
USD/CNY,2015/4/15,6.2021,6.2021,6.1932,6.2021,CNY
USD/CNY,2015/4/16,6.1937,6.1937,6.1839,6.1937,CNY
USD/CNY,2015/4/17,6.1869,6.1869,6.1805,6.1869,CNY
USD/CNY,2015/4/20,6.1866,6.1919,6.1866,6.1866,CNY
USD/CNY,2015/4/21,6.1919,6.1919,6.1919,6.1919,CNY
USD/CNY,2015/4/22,6.1919,6.1919,6.1857,6.1919,CNY
USD/CNY,2015/4/23,6.1857,6.1887,6.1857,6.1857,CNY
USD/CNY,2015/4/24,6.1887,6.1887,6.1848,6.1887,CNY
USD/CNY,2015/4/27,6.1848,6.209,6.1848,6.1848,CNY
USD/CNY,2015/4/28,6.209,6.209,6.1931,6.209,CNY
